<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001FAD2EBBCA0>
[-42.48506165 -42.48506165 -42.48506165]
[-42.22609711 -42.09661102 -41.12549591]
[-41.57868576 -41.38446045 -40.28386688]
[-41.57868576 -41.12549591 -40.54283142]
[-40.41334534 -40.73705292 -40.99601746]
[-43.45617676 -44.2978096  -43.58565521]
[-39.9601593  -40.21912384 -39.70119476]
[-39.76593781 -39.76593781 -39.76593781]
[-42.87350464 -42.29083633 -41.51394653]
[-41.57868576 -40.99601746 -40.80179214]
[-41.51394653 -41.31972122 -41.57868576]
[-40.67230988 -41.51394653 -42.29083633]
[-41.38446045 -42.4203186  -43.26195145]
[-41.96713257 -43.90936279 -43.65039825]
[-40.80179214 -42.54980087 -41.38446045]
[-40.1543808  -39.63645172 -39.37748718]
[-42.6145401  -42.4203186  -41.51394653]
[-40.99601746 -40.67230988 -39.9601593 ]
[-41.06075668 -40.54283142 -39.89541626]
[-43.00299072 -43.45617676 -43.65039825]
[-43.45617676 -42.80876541 -43.77988052]
[-40.67230988 -40.60757065 -39.89541626]
[-40.99601746 -41.31972122 -40.1543808 ]
[-41.57868576 -42.09661102 -41.51394653]
[-42.54980087 -41.64342499 -42.16135406]
[-40.21912384 -40.08964157 -39.76593781]
[-41.44920349 -41.70816803 -42.93824768]
[-42.35557556 -43.77988052 -43.97410583]
[-41.64342499 -44.03884506 -43.7151413 ]
[-39.57171249 -40.60757065 -39.89541626]
[-39.24800873 -38.47111511 -38.73007965]
[-43.13246918 -43.19721222 -42.87350464]
[-42.80876541 -42.87350464 -42.35557556]
[-41.25498199 -41.38446045 -40.80179214]
[-40.41334534 -39.63645172 -39.44223022]
[-41.57868576 -42.09661102 -41.57868576]
[-43.58565521 -43.26195145 -43.7151413 ]
[-40.60757065 -40.99601746 -41.12549591]
[-39.76593781 -39.89541626 -39.50697327]
[-42.6145401  -42.35557556 -42.54980087]
[-41.19023895 -41.44920349 -41.19023895]
[-41.06075668 -40.02490234 -40.41334534]
[-40.1543808  -40.02490234 -40.02490234]
[-42.0318718  -42.0318718  -43.65039825]
[-41.19023895 -43.58565521 -43.39143372]
[-40.54283142 -42.87350464 -42.16135406]
[-38.14740753 -38.79482269 -38.27689362]
[-39.57171249 -39.37748718 -39.18326569]
[-42.0318718  -42.54980087 -42.48506165]
[-42.09661102 -42.67928314 -42.80876541]
[-44.10358429 -44.4920311  -44.68625641]
