tm1,tm2,steps
21,11,78866
47,38,78951
23,22,78996
20,22,79038
71,70,79179
57,57,79293
44,44,79381
22,30,79433
21,22,79476
53,52,79581
249,251,80081
73,73,80227
78,69,80374
73,58,80505
43,34,80582
28,28,80638
19,19,80676
67,59,80802
67,64,80933
19,17,80969
27,28,81024
26,34,81084
52,43,81179
62,62,81303
53,44,81400
35,31,81466
71,67,81604
88,78,81770
59,59,81888
106,99,82093
37,29,82159
106,90,82355
38,32,82425
30,21,82476
47,48,82571
40,38,82649
62,59,82770
15,13,82798
21,20,82839
57,58,82954
13,13,82980
11,11,83002
14,16,83032
38,40,83110
53,44,83207
11,4,83222
36,37,83295
51,52,83398
46,49,83493
37,41,83571
21,21,83613
18,17,83648
10,9,83667
14,15,83696
15,7,83718
23,27,83768
19,28,83815
12,4,83831
65,59,83955
12,9,83976
58,55,84089
14,13,84116
33,32,84181
51,49,84281
25,22,84328
56,57,84441
65,64,84570
13,14,84597
11,11,84619
17,17,84653
35,36,84724
18,19,84761
22,22,84805
26,28,84859
22,22,84903
55,53,85011
86,86,85183
27,17,85227
36,38,85301
95,94,85490
77,78,85645
36,30,85711
8,11,85730
50,52,85832
64,50,85946
55,56,86057
32,34,86123
26,25,86174
27,27,86228
24,23,86275
21,21,86317
61,60,86438
26,26,86490
82,68,86640
24,26,86690
152,132,86974
92,74,87140
36,34,87210
99,88,87397
34,37,87468
13,5,87486
96,85,87667
21,20,87708
15,16,87739
42,43,87824
40,40,87904
30,30,87964
110,110,88184
13,4,88201
54,47,88302
16,8,88326
5,7,88338
10,13,88361
57,59,88477
14,17,88508
31,32,88571
12,12,88595
21,10,88626
9,0,88635
16,16,88667
18,11,88696
25,14,88735
12,10,88757
18,8,88783
10,9,88802
24,26,88852
19,12,88883
23,25,88931
10,8,88949
13,7,88969
55,58,89082
29,32,89143
32,37,89212
27,30,89269
128,111,89508
40,32,89580
23,14,89617
105,95,89817
6,12,89835
1,9,89845
131,133,90109
16,16,90141
83,74,90298
7,9,90314
163,161,90638
17,18,90673
16,16,90705
62,54,90821
9,10,90840
96,83,91019
31,33,91083
6,7,91096
